Journals,Links
BioMedInformatics,https://www.mdpi.com/journal/biomedinformatics
Biomimetics,https://www.mdpi.com/journal/biomimetics
Biomolecules,https://www.mdpi.com/journal/biomolecules
Bionano Frontier,http://bionanofrontier.org/
Biopharm Journal,http://www.biopharmj.com/
Biophysica,https://www.mdpi.com/journal/biophysica
Bioresearch Bulletin,http://bioresonline.org/
Bioscience and Bioengineering Communications,http://www.bioscibioeng.com/
Bioscience Biotechnology Research Communications,http://www.bbrc.in/
Bioscience Discovery,http://biosciencediscovery.com/index.html#gsc.tab=0
Biosciences International,http://biosciencesjournal.info/index.php/biointl/
"Biosciences, Biotechnology Research Asia",http://www.biotech-asia.org/
Biosensors,https://www.mdpi.com/journal/biosensors
BioTech,https://www.mdpi.com/journal/biotech
Biotechnological Research,http://www.biotechnologicalresearch-journal.com/
Birds,https://www.mdpi.com/journal/birds
Blockchains,https://www.mdpi.com/journal/blockchains
BOREAL ENVIRONMENT RESEARCH,http://borenv.com/
Botany Journal,http://plantsjournal.com/
Brain Sciences,https://www.mdpi.com/journal/brainsci
British Biomedical Bulletin,http://bbbulletin.org/
British Journal of Biomedical Research,http://bjbmr.org/
"British Journal of Economics, Finance and Management Sciences",http://www.ajournal.co.uk/BJEFM.htm
British Journal of Interdisciplinary Studies,http://www.bjis-online.org/index.php/bjis
British Journal of Medical & Health Sciences,http://jmhsci.org/
British Journal of Medical and Health Research,http://www.bjmhr.com/index.php
British Journal of Pharmaceutical and Medical Research,https://www.bjpmr.org/
British Journal of Science,http://www.ajournal.co.uk/index.htm
Buildings,https://www.mdpi.com/journal/buildings
Buletin Teknologi Makanan,http://www.btmjournal.com/index.html
Bulletin of Applied and Research Science,http://www.barsjournal.net/
"Bulletin of Environment, Pharmacology and Life Sciences",http://bepls.com/index.html
Bulletin of Mathematical Sciences & Applications,http://www.bmsa.us/index.php
Bulletin of Pharmaceutical Research,http://journal.appconnect.in/
Bulletin of Society for Mathematical Services and Standards,http://www.jsomass.com/index.php
Business and Economics Journal,http://www.irbejournal.com/
Businesses,https://www.mdpi.com/journal/businesses
C,https://www.mdpi.com/journal/carbon
Calodema,http://www.calodema.com/
Canadian Chemical Transactions,http://canchemtrans.ca/
Canadian International Journal of Science and Technology,http://www.tcsse.org/#!journal/ct84
Canadian Journal of Basic and Applied Sciences,http://www.cjbas.com/
Canadian Journal of Biomedical Research and Technology,https://biomedress.com/
Canadian Journal of Biotechnology,http://www.canadianjbiotech.com/index.php
Canadian Journal of Pure and Applied Sciences,http://www.cjpas.net/
Canadian Scientific Journal,http://csjournal.ca/
Cancer Research Frontiers,http://cancer-research-frontiers.org/
Cancers,https://www.mdpi.com/journal/cancers
Cardiogenetics,https://www.mdpi.com/journal/cardiogenetics
Cardiology and Cardiovascular Medicine,http://www.cardiolcardiovascmed.com/
Caribbean Journal of Science and Technology,http://caribjscitech.com/
Case Reports in Clinical Medicine,https://www.scirp.org/journal/crcm
Case Study and Case Report,http://www.scopemed.org/?jid=23
Catalysts,https://www.mdpi.com/journal/catalysts
CCAMLR Science,http://www.ccamlrscience.com/
Cell Medicine,https://www.cognizantcommunication.com/journal-titles/cell-medicine
CellBio,https://www.scirp.org/journal/cellbio
Cells,https://www.mdpi.com/journal/cells
Cellular and Molecular Biology,http://www.cellmolbiol.com/
Link Only,http://www.omicsonline.com/open-access/cellular-and-molecular-biology.php
Centrum,http://www.centrum.mk/
Ceramics,https://www.mdpi.com/journal/ceramics
Challenges,https://www.mdpi.com/journal/challenges
ChemEngineering,https://www.mdpi.com/journal/ChemEngineering
Chemical Science Transactions,http://www.e-journals.in/
Chemistry,https://www.mdpi.com/journal/chemistry
Chemistry Proceedings *,https://www.mdpi.com/journal/chemproc
Chemistry Research Journal,http://chemrj.org/
Chemosensors,https://www.mdpi.com/journal/chemosensors
Children,https://www.mdpi.com/journal/children
Chinese Medicine,https://www.scirp.org/journal/cm
Chinese Studies,https://www.scirp.org/journal/chnstd
Chips,https://www.mdpi.com/journal/chips
Circuits and Systems,https://www.scirp.org/journal/cs
CivilEng,https://www.mdpi.com/journal/civileng
Clean Technologies,https://www.mdpi.com/journal/cleantechnol
Climate,https://www.mdpi.com/journal/climate
Clinical and Translational Neuroscience,https://www.mdpi.com/journal/ctn
Clinics and Practice,https://www.mdpi.com/journal/clinpract
Clinics in Oncology,http://www.clinicsinoncology.com/
Clinics in Surgery,http://www.clinicsinsurgery.com/
Clocks & Sleep,https://www.mdpi.com/journal/clockssleep
Coasts,https://www.mdpi.com/journal/coasts
Coatings,https://www.mdpi.com/journal/coatings
Colloids and Interfaces,https://www.mdpi.com/journal/colloids
Colorants,https://www.mdpi.com/journal/colorants
Columban Journal of Life Sciences,http://cjlscience.org/
Commodities,https://www.mdpi.com/journal/commodities
Communications and Network,https://www.scirp.org/journal/cn
Communications on Applied Electronics,http://www.caeaccess.org/
Complications,https://www.mdpi.com/journal/complications
Compounds,https://www.mdpi.com/journal/compounds
Computation,https://www.mdpi.com/journal/computation
Computational Chemistry,https://www.scirp.org/journal/cc
Computational Molecular Bioscience,https://www.scirp.org/journal/cmb
Computational Research Progress in Applied Science & Engineering,http://www.crpase.com/
"Computational Water, Energy, and Environmental Engineering",https://www.scirp.org/journal/cweee
Computer Science Chronicle,http://www.cschronicle.org/
Computer Science Journal,http://comsj.org/
Computer Sciences & Mathematics Forum *,https://www.mdpi.com/journal/csmf
Computers,https://www.mdpi.com/journal/computers
Condensed Matter,https://www.mdpi.com/journal/condensedmatter
Conservation,https://www.mdpi.com/journal/conservation
Construction Materials,https://www.mdpi.com/journal/constrmater
Contemporary Research in India,http://www.contemporaryresearchindia.net/
Contemporary Sociological Global Review,http://www.csgr.syllabapress.us/index.html
Core Evidence,https://www.dovepress.com/core-evidence-journal
Corrosion and Materials Degradation,https://www.mdpi.com/journal/cmd
Cosmetics,https://www.mdpi.com/journal/cosmetics
COVID,https://www.mdpi.com/journal/covid
Creative Education,https://www.scirp.org/journal/ce
Crops,https://www.mdpi.com/journal/crops
Cryptography,https://www.mdpi.com/journal/cryptography
Crystal Structure Theory and Applications,https://www.scirp.org/journal/csta
Crystals,https://www.mdpi.com/journal/crystals
Cumhuriyet Science Journal,http://dergi.cumhuriyet.edu.tr/cumuscij/index
Current Biomarker Findings,https://www.dovepress.com/current-biomarker-findings-journal
Current Biotica,http://www.currentbiotica.com/
Current Botany,http://currentbotany.org/index.php/currbotany/
Current Discovery,http://www.ijcdi.com/
Current Issues in Molecular Biology,https://www.mdpi.com/journal/cimb
Current Journal of Applied Science and Technology,https://www.journalcjast.com/index.php/CJAST/index
Current Neurobiology,http://currentneurobiology.org/
Current Oncology,https://www.mdpi.com/journal/curroncol
Current Science,http://currentscience.org/
Current Trends in Technology and Sciences,http://www.ctts.in/
Current Urban Studies,https://www.scirp.org/journal/cus
Dairy,https://www.mdpi.com/journal/dairy
Danish Scientific Journal,http://www.danish-journal.com/
Data,https://www.mdpi.com/journal/data
DAV International Journal of Science,http://davjournal.com/
Degenerative Neurological and Neuromuscular Disease,https://www.dovepress.com/degenerative-neurological-and-neuromuscular-disease-journal
Dentistry Journal,https://www.mdpi.com/journal/dentistry
Der Pharma Chemica,http://derpharmachemica.com/
Dermato,https://www.mdpi.com/journal/dermato
Dermatopathology,https://www.mdpi.com/journal/dermatopathology
Designs,https://www.mdpi.com/journal/designs
Detection,https://www.scirp.org/journal/detection
Diabetology,https://www.mdpi.com/journal/diabetology
Diagnostics,https://www.mdpi.com/journal/diagnostics
Dietetics,https://www.mdpi.com/journal/dietetics
Digital,https://www.mdpi.com/journal/digital
Direct Research Journals,http://directresearchjournals.org/index.html
Disabilities,https://www.mdpi.com/journal/disabilities
Diseases,https://www.mdpi.com/journal/diseases
Disseminate Knowledge,http://www.sjvndk.com/
Diversity,https://www.mdpi.com/journal/diversity
Diyala Journal for Pure Science,http://www.sciencesmag.uodiyala.edu.iq/
DNA,https://www.mdpi.com/journal/dna
Drones,https://www.mdpi.com/journal/drones
Drugs and Drug Candidates,https://www.mdpi.com/journal/ddc
Dynamics,https://www.mdpi.com/journal/dynamics
Earth,https://www.mdpi.com/journal/earth
East European Science Journal,http://eesa-journal.com/en/
Eastern Academic Journal,http://www.e-acadjournal.org/
Eastern European Scientific Journal,http://journale.auris-verlag.de/index.php/EESJ
Ecoforum,http://www.ecoforumjournal.ro/index.php/eco
Ecoletra.com Scientific eJournal,http://ebook.ecoletra.com/ecoletra-com-scientific-ejournal
Ecologies,https://www.mdpi.com/journal/ecologies
Econometrics,https://www.mdpi.com/journal/econometrics
Economies,https://www.mdpi.com/journal/economies
Education Reform Journal,http://www.erjournal.org/
Link Only,http://dergipark.gov.tr/erjournal
Education Sciences,https://www.mdpi.com/journal/education
EDUVED Global Management Research,http://egmr.eduved.org/
"Eduved, International Journal of Interdisciplinary Research",http://www.eduved.org/
E-Health Telecommunication Systems and Networks,https://www.scirp.org/journal/etsn
Electricity,https://www.mdpi.com/journal/electricity
Electrochem,https://www.mdpi.com/journal/electrochem
Electronic Journal of Biology,http://www.ejbio.com/
Electronic Journal of Engineering and Technology,http://www.ejet.org.uk/index.html
Electronic Journal of Vocational Colleges,http://www.ejovoc.org/default.aspx
Electronic Materials,https://www.mdpi.com/journal/electronicmat
Electronics,https://www.mdpi.com/journal/electronics
E-Library Science Research Journal,http://lsrj.in/Default1.aspx
Elixir International Journal,http://www.elixirpublishers.com/
Elixir Online Journal,http://www.elixirjournal.org/
Encyclopedia,https://www.mdpi.com/journal/encyclopedia
Endocrines,https://www.mdpi.com/journal/endocrines
Energies,https://www.mdpi.com/journal/energies
Energy and Power Engineering,https://www.scirp.org/journal/epe
Eng,https://www.mdpi.com/journal/eng
Engineering,https://www.scirp.org/journal/eng
Engineering & IT Journal,http://www.eitjournal.com/
Engineering Physics and Thermodynamics Journal,http://djphys.org/
Engineering Proceedings *,https://www.mdpi.com/journal/engproc
Engineering Research Journal,http://www.mnf-eng.com/
Entomology and Applied Science Letters,http://easletters.com/
Entropy,https://www.mdpi.com/journal/entropy
Environmental Sciences Proceedings *,https://www.mdpi.com/journal/environsciproc
Environments,https://www.mdpi.com/journal/environments
Epidemiologia,https://www.mdpi.com/journal/epidemiologia
Epigenomes,https://www.mdpi.com/journal/epigenomes
ESSENCE: International Journal for Environmental Rehabilitation and Conservation,http://essence-journal.com/
Estudos de Psicologia (Campinas),http://www.scielo.br/estpsi
Euro-Afro Journal of Arts and Social Sciences,http://euro-afrojournals.com/index.php
European Academic Research,http://www.euacademic.org/Default.aspx
European Burn Journal,https://www.mdpi.com/journal/ebj
European Chemical Bulletin,http://www.eurchembull.com/index.php/ECB
European Environmental Sciences and Ecology Journal,http://www.eesej.eu/
European International Journal of Science and Humanities,http://www.eijsr.org/
European International Journal of Science and Technology,http://www.cekinfo.org.uk/EIJST
European Journal of Academic Essays,http://euroessays.org/
European Journal of Advanced Computer Science,http://eujcs.eu/
European Journal of Advances in Engineering & Technology,http://ejaet.com/theme.php?go=home
European Journal of Biomedical and Pharmaceutical Sciences,http://www.ejbps.com/
European Journal of Biotechnology and Bioscience,http://www.biotechjournal.info/
European Journal of Business and Social Sciences,http://www.ejbss.com/home.aspx
European Journal of Chemistry,http://www.eurjchem.com/index.php/eurjchem
European Journal of Contemporary Economics and Management,http://ejcem.eu/
"European Journal of Economics, Finance and Administrative Sciences",http://www.europeanjournalofeconomicsfinanceandadministrativesciences.com/
European Journal of Educational Research,http://eurojedu.com/
EU-JER journal,https://www.eu-jer.com/
European Journal of Educational Sciences,http://www.ejes.eu/
European Journal of Engineering Research and Science,http://www.ejers.org/index.php/ejers
European Journal of General Dentistry,http://www.ejgd.org/
"European Journal of Investigation in Health, Psychology and Education",https://www.mdpi.com/journal/ejihpe
European Journal of Molecular & Clinical Medicine,https://ejmcm.com/
European Journal of Natural History,http://world-science.ru/euro/
European Journal of Pharmaceutical and Medical Research,http://www.ejpmr.com/
European Journal of Science and Theology,http://www.ejst.tuiasi.ro/
European Journal of Scientific Research,http://www.europeanjournalofscientificresearch.com/
European Journal of Social Sciences,http://www.europeanjournalofsocialsciences.com/index.html
European Journal of Sustainable Development,http://www.ecsdev.org/
European Law and Politics Journal,http://elpjournal.eu/
European Online Journal of Natural and Social Sciences,http://european-science.com/eojnss/index
European Research Studies Journal,https://ersj.eu/
European Scientific Journal,http://eujournal.org/index.php/esj
Fermentation,https://www.mdpi.com/journal/fermentation
Fibers,https://www.mdpi.com/journal/fibers
FinTech,https://www.mdpi.com/journal/fintech
Fire,https://www.mdpi.com/journal/fire
First Independent Scientific Journal,http://firjournal.com.ua/
Fishes,https://www.mdpi.com/journal/fishes
Fluids,https://www.mdpi.com/journal/fluids
FLUIDS: International Journal of Medical Fluid Management,http://www.fluidsjournal.org/
Food and Nutrition Sciences,https://www.scirp.org/journal/fns
Food Biology,http://foodbiology.org/index.php/foodbio/
Foods,https://www.mdpi.com/journal/foods
Forecasting,https://www.mdpi.com/journal/forecasting
Forensic Medicine and Anatomy Research,https://www.scirp.org/journal/fmar
Forensic Sciences,https://www.mdpi.com/journal/forensicsci
Forests,https://www.mdpi.com/journal/forests
FOREX Technical Journal Library,http://www.forexjournal.co.in/Index.aspx
Foundations,https://www.mdpi.com/journal/foundations
FOURRAGES,http://afpf-asso.com/
Fractal and Fractional,https://www.mdpi.com/journal/fractalfract
Frontiers in Cardiovascular Medicine,https://www.frontiersin.org/journals/cardiovascular-medicine
Frontiers in Medical Case Reports,https://www.jmedicalcasereports.org/
Fuels,https://www.mdpi.com/journal/fuels
"Functional Analysis: Theory, Method & Applications",http://jfatma.com/index.php
Future,https://www.mdpi.com/journal/future
Future Internet,https://www.mdpi.com/journal/futureinternet
Future Pharmacology,https://www.mdpi.com/journal/futurepharmacol
Future Transportation,https://www.mdpi.com/journal/futuretransp
Galaxies,https://www.mdpi.com/journal/galaxies
Galaxy: International Multidisciplinary Research Journal,http://www.galaxyimrj.com/
Games,https://www.mdpi.com/journal/games
Gases,https://www.mdpi.com/journal/gases
Gastroenterology Insights,https://www.mdpi.com/journal/gastroent
Gastrointestinal Disorders,https://www.mdpi.com/journal/gastrointestdisord
Gastronomy,https://www.mdpi.com/journal/gastronomy
Gels,https://www.mdpi.com/journal/gels
Genealogy,https://www.mdpi.com/journal/genealogy
Generics and Biosimilars Initiative Journal,http://gabi-journal.net/
Genes,https://www.mdpi.com/journal/genes
Genes & Cancer,http://www.impactjournals.com/Genes&Cancer/
Genetics and Molecular Research,http://www.geneticsmr.com/
Geodynamics Research International Bulletin,http://www.geo-dynamica.com/
Geographies,https://www.mdpi.com/journal/geographies
GeoHazards,https://www.mdpi.com/journal/geohazards
Geomaterials,https://www.scirp.org/journal/gm
Geomatics,https://www.mdpi.com/journal/geomatics
Geosciences,https://www.mdpi.com/journal/geosciences
Geotechnics,https://www.mdpi.com/journal/geotechnics
Geriatrics,https://www.mdpi.com/journal/geriatrics
"G-Journal of Education, Social Science and Humanities",http://gjestenv.com/
G-Journal of Environmental Science and Technology,http://gjestenv.com/
Global Business & Finance Review,http://www.gbfrjournal.org/html/
Global Journal for Research Analysis,http://worldwidejournals.com/gra/
Global Journal of Advance Research on Classical and Modern Geometries,http://geometry-math-journal.ro/
Global Journal of Advanced Engineering Technologies and Sciences,http://www.gjaets.com/
Global Journal of Advanced Research,http://www.gjar.org/
Global Journal of Animal Scientific Research,http://www.gjasr.com/
Global Journal of Business and Social Science Review,http://www.gjbssr.org/
Global Journal of Business and Social Science,http://www.gjbss.com/
Global Journal of Engineering Science and Research Management,http://www.gjesrm.com/
Global Journal of Engineering Science and Researches,http://www.gjesr.com/
Global Journal of Management Science and Technology,http://gjmst.com/index.htm
Global Journal of Medical and Health Sciences,http://globaljmhs.org/
Global Journal of Medicine and Public Health,http://www.gjmedph.org/
